Wall time,Step,Value
1748165378.4630804,640,90.28571319580078
1748165379.2020419,1920,91.38095092773438
1748165379.2863815,2048,91.54545593261719
1748165379.488534,2432,93.83999633789062
1748165379.569788,2560,94.0
1748165379.7988257,2944,96.80000305175781
1748165380.1015558,3456,103.84375
1748165380.1870184,3584,107.54545593261719
1748165383.117149,5248,116.04444122314453
1748165383.5917077,6144,115.86792755126953
1748165383.6618311,6272,115.86792755126953
1748165383.7345357,6400,116.2727279663086
1748165384.1019588,7040,117.89830780029297
1748165384.6547308,8064,121.33333587646484
1748165384.746422,8192,121.33333587646484
1748165385.0663252,8576,121.33333587646484
1748165385.2084806,8704,121.33333587646484
1748165385.5862985,9088,134.44775390625
1748165385.6762197,9216,134.44775390625
1748165386.629587,9984,134.44775390625
1748165389.2876601,10624,152.52174377441406
1748165389.8124237,11520,152.10667419433594
1748165390.5611925,12800,151.98780822753906
1748165390.8714907,13312,154.83529663085938
1748165391.1254656,13696,156.6896514892578
1748165391.2005413,13824,156.6896514892578
1748165391.910774,14976,157.9130401611328
1748165394.42117,15616,164.72340393066406
1748165394.7716804,16128,166.6354217529297
1748165394.8424194,16256,166.27835083007812
1748165394.9986043,16512,168.051025390625
1748165395.1433358,16768,168.5353546142578
1748165395.585056,17536,170.63999938964844
1748165395.655992,17664,171.5399932861328
1748165396.1626005,18560,176.49000549316406
1748165396.3222532,18816,177.77000427246094
1748165396.3958418,18944,178.33999633789062
1748165396.639196,19328,179.77000427246094
1748165401.5692854,20224,182.5800018310547
1748165401.8740885,20608,189.77999877929688
1748165402.0495007,20864,191.33999633789062
1748165402.241932,21120,191.33999633789062
1748165403.0661807,22016,195.22000122070312
1748165403.2285442,22144,195.22000122070312
1748165403.7320468,22784,208.8000030517578
1748165404.3820732,23680,214.16000366210938
1748165404.4835,23808,214.16000366210938
1748165404.5832756,23936,216.1699981689453
1748165404.9193475,24448,220.10000610351562
1748165404.9896588,24576,220.10000610351562
1748165405.0720148,24704,220.10000610351562
1748165418.7372737,25600,228.52000427246094
1748165419.0137727,25984,228.52000427246094
1748165419.1262817,26112,232.3699951171875
1748165419.2019515,26240,232.3699951171875
1748165419.3001285,26368,232.3699951171875
1748165419.4781406,26624,235.47000122070312
1748165419.7953374,27136,236.5800018310547
1748165419.9582818,27392,236.8699951171875
1748165420.1798139,27648,236.8699951171875
1748165421.1090112,28288,245.5
1748165421.187788,28416,245.5
1748165421.5458481,28800,249.60000610351562
1748165422.2421842,29440,249.60000610351562
1748165435.839292,31360,268.19000244140625
1748165435.9989617,31488,268.19000244140625
1748165436.1913276,31616,268.19000244140625
1748165437.9254742,33152,281.79998779296875
1748165438.174093,33280,281.79998779296875
1748165438.4508064,33408,281.79998779296875
1748165439.6896787,34816,298.0199890136719
1748165472.3986514,35200,298.0199890136719
1748165472.644123,35456,298.0199890136719
1748165472.9842618,35712,298.0199890136719
1748165473.512839,36224,312.1000061035156
1748165473.9645016,36608,312.1000061035156
1748165474.752557,36992,312.1000061035156
1748165474.933729,37248,320.8399963378906
1748165475.5210042,37888,320.8399963378906
1748165475.7406914,38144,328.8900146484375
1748165475.8337648,38272,328.8900146484375
1748165477.1450796,39296,337.7799987792969
1748165477.510372,39552,337.7799987792969
1748165506.4767885,40064,346.5400085449219
1748165506.8470414,40576,347.8999938964844
1748165507.1015902,40832,347.8999938964844
1748165507.2467623,40960,347.8999938964844
1748165507.6411493,41344,357.1600036621094
1748165509.7358587,43264,371.2099914550781
1748165509.8585904,43392,371.2099914550781
1748165510.5193086,44032,379.5899963378906
1748165510.7122288,44288,379.5899963378906
1748165510.8454885,44416,379.5899963378906
1748165540.6366658,45184,383.70001220703125
1748165540.8501463,45440,383.70001220703125
1748165541.6740952,45952,383.70001220703125
1748165542.3192568,46720,402.05999755859375
1748165542.4046013,46848,403.3900146484375
1748165542.476264,46976,403.3900146484375
1748165542.559801,47104,403.3900146484375
1748165543.837908,48512,411.69000244140625
1748165544.7537816,49536,422.94000244140625
1748165564.0312457,50048,423.2200012207031
1748165564.195051,50304,423.2200012207031
1748165564.949961,50944,423.2200012207031
1748165565.5671387,51584,435.3900146484375
1748165565.9326918,51840,435.3900146484375
1748165566.5830061,52480,443.6700134277344
1748165567.2931373,53120,451.6000061035156
1748165567.3769355,53248,451.6000061035156
1748165568.3506844,54016,459.9200134277344
1748165568.4320235,54144,459.9200134277344
1748165568.9393167,54656,459.9200134277344
1748165600.2323856,55936,459.9200134277344
1748165600.3887632,56064,458.4800109863281
1748165600.5875702,56320,458.4800109863281
1748165601.2332926,56832,458.4800109863281
1748165601.413862,56960,458.4800109863281
1748165601.5757442,57216,464.3800048828125
1748165601.964688,57728,467.7200012207031
1748165602.295518,57984,467.7200012207031
1748165603.1883857,58496,475.55999755859375
1748165604.022634,59136,475.55999755859375
1748165604.7457087,59648,483.239990234375
1748165604.8632762,59776,485.6499938964844
1748165631.1298587,60032,485.6499938964844
1748165631.3039777,60288,488.5
1748165631.664611,60800,492.6300048828125
1748165631.7325048,60928,492.6300048828125
1748165632.3810341,61568,492.6300048828125
1748165632.5313249,61696,492.6300048828125
1748165633.160321,62464,501.0199890136719
1748165633.4619718,62720,501.0199890136719
1748165634.0296407,63360,509.55999755859375
1748165634.741989,63872,518.760009765625
1748165666.4440315,65280,527.6799926757812
1748165666.5715306,65408,527.6799926757812
1748165666.7408617,65536,527.6799926757812
1748165666.929777,65664,527.6799926757812
1748165667.1386752,65792,527.6799926757812
1748165667.366257,65920,527.6799926757812
1748165667.741664,66304,535.3699951171875
1748165667.8706317,66432,535.3699951171875
1748165668.0017512,66560,535.3699951171875
1748165669.8321762,68352,549.280029296875
1748165669.9384878,68480,549.280029296875
1748165670.1783698,68736,549.280029296875
1748165670.2854543,68864,556.4400024414062
1748165670.3668745,68992,555.6699829101562
1748165670.5383885,69248,555.6699829101562
1748165670.7980165,69504,555.6699829101562
1748165671.1123407,69760,555.6699829101562
1748165703.262311,70016,563.1099853515625
1748165703.6884007,70528,563.1099853515625
1748165704.0369737,70784,563.1099853515625
1748165704.5255945,71296,571.719970703125
1748165705.9246132,72064,580.3400268554688
1748165706.098383,72320,580.3400268554688
1748165706.6023839,72832,580.3400268554688
1748165707.1869226,73472,588.1500244140625
1748165708.7098024,74880,596.9099731445312
1748165742.4556534,75008,596.9099731445312
1748165742.749923,75392,596.9099731445312
1748165743.0681827,75648,596.9099731445312
1748165743.2551892,75776,596.9099731445312
1748165743.7303987,76160,608.6199951171875
1748165743.9540741,76416,608.6199951171875
1748165744.8190122,77312,615.1599731445312
1748165745.3643527,77952,619.8800048828125
1748165746.4443028,78592,619.8800048828125
1748165746.638515,78720,626.7100219726562
1748165746.8124776,78976,626.7100219726562
1748165747.5513306,79744,635.3900146484375
1748165747.633259,79872,635.3900146484375
1748165777.232797,80256,635.3900146484375
1748165777.4065106,80512,638.2999877929688
1748165777.514004,80640,638.2999877929688
1748165777.9860082,81152,642.780029296875
1748165778.5054011,81664,642.780029296875
1748165779.2343812,82432,651.0499877929688
1748165779.3343108,82560,651.0499877929688
1748165780.2444859,83200,651.0499877929688
1748165780.5733576,83456,659.4099731445312
1748165781.0630538,83968,659.4099731445312
1748165781.5718553,84352,667.7100219726562
1748165781.7443514,84608,667.7100219726562
1748165814.792843,85504,667.7100219726562
1748165815.431287,85888,667.7100219726562
1748165816.0886781,86528,683.030029296875
1748165816.2572048,86656,683.030029296875
1748165816.858581,87168,691.7899780273438
1748165817.245354,87680,693.5499877929688
1748165818.5275373,88704,702.2000122070312
1748165818.7411115,88960,702.2000122070312
1748165819.015676,89216,702.2000122070312
1748165819.1651258,89344,702.2000122070312
1748165819.745527,89984,709.6300048828125
1748165850.5774124,91008,724.3300170898438
1748165851.0414357,91648,727.6400146484375
1748165851.2203403,91904,728.1199951171875
1748165851.6257637,92288,728.1199951171875
1748165851.7559717,92416,732.3099975585938
1748165851.9025452,92672,731.1500244140625
1748165852.0954463,92928,732.7999877929688
1748165852.1845074,93056,732.7999877929688
1748165852.348911,93312,727.1900024414062
1748165852.4318633,93440,727.1900024414062
1748165852.647258,93696,727.1900024414062
1748165852.7588665,93824,727.1900024414062
1748165852.8764904,93952,727.1900024414062
1748165853.4196875,94592,733.9199829101562
1748165877.0583758,95360,733.9199829101562
1748165879.5440657,97920,740.9199829101562
1748165879.6364906,98048,748.77001953125
1748165880.4036493,98944,746.9199829101562
1748165880.8113716,99328,754.0599975585938
1748165880.8862026,99456,754.0599975585938
1748165881.1515014,99712,754.0599975585938
1748165881.4551647,99968,754.0599975585938
1748165901.3271189,100224,754.0599975585938
1748165902.215316,100992,767.6199951171875
1748165904.282886,103040,779.9000244140625
1748165904.36551,103168,779.9000244140625
1748165904.5236087,103424,776.489990234375
1748165904.9565804,103808,776.489990234375
1748165906.1890466,104832,781.3499755859375
1748165906.3347561,104960,781.3499755859375
1748165935.393356,106112,795.489990234375
1748165935.8367102,106624,795.489990234375
