Wall time,Step,Value
1748156372.59282,30932,-121.71537780761719
1748156373.2047343,31308,-119.42546844482422
1748156373.7573462,31847,-118.7341537475586
1748156374.1039398,32236,-115.97132110595703
1748156374.4092255,32583,-116.17822265625
1748156374.8725305,33096,-116.07667541503906
1748156375.2887874,33563,-112.53544616699219
1748156376.8897219,34812,-108.5725326538086
1748156413.3132737,35331,-108.88141632080078
1748156413.9738,35727,-107.67539978027344
1748156414.7955453,36201,-105.76038360595703
1748156415.7483945,36748,-105.37390899658203
1748156416.521874,37194,-107.6795654296875
1748156417.2775424,37631,-107.35359954833984
1748156418.141249,38142,-105.70449829101562
1748156418.848803,38551,-109.76599884033203
1748156419.5142932,38978,-110.12339782714844
1748156420.2293468,39402,-109.89317321777344
1748156421.207141,39960,-108.30437469482422
1748156455.9914844,40525,-104.5495376586914
1748156456.4601538,41051,-104.25297546386719
1748156456.9282203,41584,-98.84310150146484
1748156457.3979993,42110,-100.12860870361328
1748156457.9049706,42672,-98.76899719238281
1748156458.5081785,43324,-96.0413589477539
1748156458.9560819,43826,-95.88453674316406
1748156459.3713722,44295,-95.9377212524414
1748156459.8006349,44774,-96.07060241699219
1748156497.5117202,45334,-94.50041961669922
1748156497.9992673,45871,-93.71197509765625
1748156498.4139252,46332,-90.71675109863281
1748156498.79121,46733,-91.16624450683594
1748156499.2490602,47209,-94.4095687866211
1748156499.7476935,47753,-93.81665802001953
1748156500.1528726,48203,-94.40326690673828
1748156500.6958342,48794,-91.55963134765625
1748156501.1920822,49333,-92.30827331542969
1748156535.5803533,50143,-88.72871398925781
1748156536.486306,50660,-88.48602294921875
1748156537.5957808,51283,-86.46134185791016
1748156538.9299843,52020,-84.25762176513672
1748156539.7069576,52518,-82.73812866210938
1748156541.3550336,53442,-81.73619079589844
1748156544.1924357,54804,-78.89022064208984
1748156580.6504102,55548,-79.46473693847656
1748156581.2875652,56237,-79.5530014038086
1748156581.7981665,56797,-82.2356948852539
1748156583.6367736,58195,-77.52616119384766
1748156584.1482277,58738,-77.30523681640625
1748156584.8168314,59448,-78.40776824951172
1748156621.4270482,60760,-76.76448822021484
1748156622.4189885,61317,-74.7602767944336
1748156624.230089,62275,-72.28851318359375
1748156625.6082528,63049,-72.5813980102539
1748156626.6103015,63773,-69.70777893066406
1748156627.240083,64458,-68.32650756835938
1748156662.6952553,65186,-66.933349609375
1748156663.2932675,65827,-65.9976806640625
1748156664.0381644,66565,-63.202877044677734
1748156664.7730772,67283,-61.728214263916016
1748156665.3354166,67887,-61.81816482543945
1748156666.4767866,68929,-61.837501525878906
1748156667.704573,69613,-60.507205963134766
1748156703.8371675,70651,-55.78061294555664
1748156707.7582223,72368,-53.264225006103516
1748156708.939372,73260,-50.33047866821289
1748156710.5497622,74573,-51.5645637512207
1748156744.534862,75688,-48.52884292602539
1748156751.9471328,78884,-47.555992126464844
1748156787.769866,82000,-43.89421844482422
1748156793.033579,84156,-41.128421783447266
1748156828.8889582,86509,-40.37456512451172
1748156831.747318,88305,-43.10873794555664
1748156868.0417562,90234,-42.81543731689453
1748156877.9244516,94234,-38.51234817504883
1748156921.7527385,99000,-36.84273147583008
1748156963.9638474,103000,-36.10972213745117
1748157007.075413,107000,-36.903770446777344
1748157047.2603686,111000,-38.02321243286133
1748157055.3723397,114138,-39.207298278808594
1748157097.1864212,119000,-37.626953125
1748157135.2354548,123000,-36.934661865234375
1748157172.1062953,127000,-35.02764129638672
1748157214.077179,131000,-35.69236373901367
1748157222.9965134,134239,-35.97176742553711
1748157253.8261461,137170,-35.972412109375
1748157257.5449824,139627,-34.618568420410156
1748157291.3810933,144000,-33.96281433105469
1748157315.291539,145529,-38.02169418334961
1748157323.0416114,149529,-39.15437698364258
1748157346.5769818,152200,-41.25826644897461
1748157366.2476597,156000,-38.37074279785156
1748157370.7935195,158891,-40.95405197143555
1748157388.04244,161435,-44.91115188598633
1748157391.415574,162899,-52.39698028564453
1748157412.7391453,165999,-51.38711166381836
1748157419.8859012,169174,-50.70125961303711
1748157438.6140425,171805,-46.517982482910156
1748157441.940362,173384,-46.62450408935547
1748157462.2324355,176083,-49.09482192993164
1748157466.3885984,178975,-49.608787536621094
1748157484.4400487,180991,-49.79368209838867
1748157487.757843,182990,-50.00129318237305
1748157488.567072,183756,-50.670692443847656
1748157506.6567523,186334,-51.08088302612305
