Wall time,Step,Value
1748267750.87459,500,283.77777099609375
1748267754.2786577,2000,280.84210205078125
1748267755.3622215,2500,287.79998779296875
1748267766.82313,5500,297.92633056640625
1748267767.9196854,6000,302.69000244140625
1748267771.223686,7500,309.4800109863281
1748267772.333701,8000,316.6199951171875
1748267775.6435366,9500,317.29998779296875
1748267781.7689567,10000,321.04998779296875
1748267782.8636062,10500,319.6300048828125
1748267785.066814,11500,321.2200012207031
1748267786.1575565,12000,314.239990234375
1748267789.490156,13500,308.3800048828125
1748267790.5907288,14000,307.1700134277344
1748267801.425951,17000,309.67999267578125
1748267804.5532167,18500,314.5400085449219
1748267805.604818,19000,307.7099914550781
1748267806.6395998,19500,311.0799865722656
1748267812.182808,20000,312.010009765625
1748267813.2502973,20500,313.5799865722656
1748267820.7137296,24000,309.3699951171875
1748267821.7700176,24500,313.1499938964844
1748267827.5674095,25000,315.9200134277344
1748267829.6459725,26000,318.75
1748267830.7233193,26500,317.92999267578125
1748267832.9071589,27500,309.6099853515625
1748267836.1082778,29000,310.5199890136719
1748267843.5771656,30500,310.69000244140625
1748267844.6447027,31000,308.44000244140625
1748267845.6986222,31500,308.760009765625
1748267846.7547982,32000,307.8500061035156
1748267848.8715158,33000,313.1300048828125
1748267849.9306202,33500,308.7200012207031
1748267850.9851213,34000,308.8999938964844
1748267852.034373,34500,310.4700012207031
1748267858.491337,35500,309.9700012207031
1748267859.5563126,36000,312.4200134277344
1748267865.9085176,39000,328.0299987792969
1748267873.6531181,40000,336.4800109863281
1748267874.6913733,40500,342.489990234375
1748267876.7208524,41500,351.9599914550781
1748267877.7345662,42000,354.6300048828125
1748267879.8465884,43000,363.0299987792969
1748267890.6462028,45000,377.6600036621094
1748267891.7062593,45500,383.19000244140625
1748267896.8795767,48000,392.6700134277344
1748267906.2295468,50000,381.8699951171875
1748267907.280245,50500,383.3699951171875
1748267910.402032,52000,390.5799865722656
1748267913.5150466,53500,394.0299987792969
1748267914.5458066,54000,399.05999755859375
1748267923.25556,55000,401.239990234375
1748267928.7532258,57500,404.7200012207031
1748267930.9137793,58500,419.3299865722656
1748267943.172012,61000,425.32000732421875
1748267947.1337848,63000,433.4200134277344
1748267948.1257358,63500,432.8500061035156
1748267950.1040792,64500,437.8599853515625
1748267958.595201,65500,431.8399963378906
1748267959.5777133,66000,439.3299865722656
1748267960.5697384,66500,439.3599853515625
1748267964.5082963,68500,448.45001220703125
1748267965.512708,69000,442.1400146484375
1748267978.9168842,72000,435.44000244140625
1748267979.8985932,72500,439.7200012207031
1748267981.847221,73500,440.989990234375
1748267982.8140378,74000,440.3800048828125
1748267993.4526205,75500,430.8299865722656
1748268000.5583792,79000,448.1600036621094
1748268009.3471234,80000,448.7699890136719
1748268010.3660982,80500,448.5
1748268012.3620255,81500,454.989990234375
1748268014.4401283,82500,453.7200012207031
1748268016.4983194,83500,451.3699951171875
1748268027.3007863,85500,463.05999755859375
1748268028.3269174,86000,457.4800109863281
1748268029.3706305,86500,453.3900146484375
1748268032.4321864,88000,448.69000244140625
1748268033.4274213,88500,447.5799865722656
1748268034.4237044,89000,447.9200134277344
1748268035.4467838,89500,449.489990234375
1748268044.772658,90500,447.2900085449219
1748268045.80153,91000,448.3800048828125
1748268048.8026226,92500,454.9700012207031
1748268049.8258924,93000,455.20001220703125
1748268050.8448002,93500,453.4700012207031
1748268060.5536265,95000,451.6400146484375
1748268061.5882292,95500,449.92999267578125
1748268062.6257815,96000,455.2300109863281
1748268063.6725922,96500,458.55999755859375
1748268066.7294512,98000,455.6600036621094
1748268077.6339266,100000,461.010009765625
1748268078.6256263,100500,458.8599853515625
1748268080.6000683,101500,464.739990234375
1748268081.6216717,102000,462.69000244140625
1748268082.6277802,102500,465.4200134277344
1748268083.6431456,103000,465.9800109863281
1748268085.6418602,104000,476.0
1748268105.9742312,105000,479.5299987792969
1748268108.0882702,106000,474.25
1748268110.1937046,107000,461.30999755859375
1748268112.307907,108000,470.3699951171875
1748268113.3573432,108500,471.9700012207031
1748268115.4912531,109500,465.7200012207031
1748268134.5822103,110000,467.0299987792969
1748268135.6464546,110500,463.4800109863281
1748268136.6784716,111000,458.05999755859375
1748268137.6844187,111500,461.4800109863281
1748268139.6649754,112500,464.4700012207031
1748268140.6722386,113000,462.1700134277344
1748268151.4958332,115000,452.6499938964844
1748268157.7877874,118000,462.1300048828125
1748268159.8689797,119000,454.07000732421875
1748268160.8658233,119500,458.6199951171875
1748268169.0010247,120000,458.2300109863281
1748268171.0457563,121000,463.6300048828125
1748268172.1041312,121500,459.55999755859375
1748268174.1442547,122500,458.0
1748268175.1681316,123000,458.94000244140625
1748268176.192446,123500,459.92999267578125
1748268177.1961293,124000,458.7200012207031
1748268189.427645,126500,461.7799987792969
1748268190.4355168,127000,469.5199890136719
1748268191.4919186,127500,468.6499938964844
1748268194.5945125,129000,476.1700134277344
1748268195.577869,129500,481.3800048828125
1748268204.7721405,130000,481.0
1748268205.785426,130500,481.3900146484375
1748268207.861286,131500,483.3800048828125
1748268224.5849829,135500,499.3699951171875
1748268225.6471372,136000,493.8999938964844
1748268228.6596825,137500,502.3399963378906
1748268229.664165,138000,503.67999267578125
1748268230.7084796,138500,507.55999755859375
1748268232.72948,139500,515.1300048828125
1748268243.0100565,140500,515.9099731445312
1748268244.9823606,141500,514.27001953125
1748268245.9807115,142000,511.5799865722656
1748268247.9967818,143000,508.3599853515625
1748268250.0414283,144000,508.8299865722656
1748268251.0330555,144500,510.6700134277344
1748268271.9197822,145500,514.489990234375
1748268276.922114,148000,512.3599853515625
1748268277.9281805,148500,507.9800109863281
1748268278.9021754,149000,504.8800048828125
1748268279.8744109,149500,510.510009765625
1748268294.7048736,152500,515.1199951171875
1748268296.7104597,153500,517.3499755859375
1748268298.6967475,154500,533.1099853515625
1748268308.5775146,155000,530.8099975585938
1748268311.6289,156500,528.7999877929688
1748268312.614312,157000,529.239990234375
1748268315.6189342,158500,528.4500122070312
