Wall time,Step,Value
1747046018.739254,2048,21.967741012573242
1747046019.5130615,4096,24.600000381469727
1747046021.6023562,6144,33.34000015258789
1747046022.6306303,8192,44.52000045776367
1747046025.2197871,10240,58.36000061035156
1747046026.2732642,12288,72.79000091552734
1747046027.3223379,14336,89.51000213623047
1747046030.7050529,16384,107.91999816894531
1747046031.753876,18432,125.26000213623047
1747046035.4823878,20480,143.0399932861328
1747046036.0942843,22528,158.30999755859375
1747046036.6994035,24576,176.5800018310547
