Wall time,Step,Value
1748165970.6773343,114944,-109.52911376953125
1748165991.0894508,115456,-109.52911376953125
1748165991.1750638,115584,-110.70486450195312
1748165991.7922568,116352,-110.49996185302734
1748165992.0207052,116608,-112.31356811523438
1748165992.1119902,116736,-112.31356811523438
1748165993.3287055,117632,-112.92593383789062
1748165993.6049027,118016,-114.08182525634766
1748165994.4959204,118912,-113.74349212646484
1748165994.6507058,119168,-113.74349212646484
1748165994.7703934,119296,-113.74349212646484
1748165994.9039664,119424,-113.74349212646484
1748166015.7138178,120704,-113.21180725097656
1748166016.6953611,121600,-113.00464630126953
1748166016.9495132,121984,-112.07518005371094
1748166017.31581,122368,-112.07518005371094
1748166018.5145888,123392,-112.90083312988281
1748166036.906346,125312,-112.39185333251953
1748166037.030538,125440,-112.39185333251953
1748166037.5729518,125824,-112.39185333251953
1748166038.149596,126336,-112.58969116210938
1748166038.5434413,126848,-113.79814910888672
1748166038.7128966,127104,-115.06172943115234
1748166038.9101377,127360,-115.06172943115234
1748166039.1781878,127616,-115.06172943115234
1748166039.6358552,128000,-115.66285705566406
1748166039.9242256,128384,-116.21232604980469
1748166039.9952078,128512,-116.21232604980469
1748166040.0728064,128640,-116.41329956054688
1748166040.2494564,128896,-116.3382797241211
1748166040.9990351,129792,-117.16470336914062
1748166062.3322792,130048,-117.16470336914062
1748166063.0598652,130944,-119.15428161621094
1748166063.763233,131456,-119.15428161621094
1748166064.0518672,131712,-119.59098052978516
1748166064.7539175,132608,-120.87384796142578
1748166064.9329336,132736,-120.87384796142578
1748166065.1568801,132864,-120.87384796142578
1748166065.9075322,133632,-120.23115539550781
1748166066.43848,134016,-120.23115539550781
1748166089.8858688,135296,-121.8152847290039
1748166090.1022434,135552,-121.8152847290039
1748166090.3596747,135808,-121.8152847290039
1748166090.5914066,136064,-122.2093276977539
1748166092.0765023,137088,-122.52223205566406
1748166092.1648455,137216,-122.52223205566406
1748166092.2721498,137344,-122.52223205566406
1748166092.4133828,137472,-122.52223205566406
1748166093.06762,137984,-122.52223205566406
1748166093.354863,138368,-122.62637329101562
1748166094.2684844,139136,-122.73664093017578
1748166094.357477,139264,-122.73664093017578
1748166117.2968807,140672,-125.03428649902344
1748166118.067863,141184,-125.03428649902344
1748166118.3835747,141440,-125.13433074951172
1748166118.657358,141824,-125.47122192382812
1748166118.9640508,142080,-125.47122192382812
1748166119.3472726,142336,-125.47122192382812
1748166119.8247259,142720,-125.19273376464844
1748166120.999806,143616,-125.31171417236328
1748166121.0903268,143744,-125.31171417236328
1748166121.583047,144128,-125.31171417236328
1748166121.780973,144256,-125.31171417236328
1748166122.3350544,144640,-125.4913558959961
1748166152.4441597,145024,-125.4913558959961
1748166152.6082923,145280,-125.4913558959961
1748166153.320189,145920,-125.4913558959961
1748166154.1822467,146816,-125.0478744506836
1748166154.7953632,147456,-124.8202133178711
1748166154.9732695,147584,-124.8202133178711
1748166156.5714486,148864,-124.99473571777344
1748166156.8436115,149120,-124.9108657836914
1748166157.1805043,149504,-124.9108657836914
1748166189.5771222,150400,-125.03733825683594
1748166189.9366894,150656,-125.03733825683594
1748166190.154033,150784,-125.03733825683594
1748166190.9132578,151424,-125.1473159790039
1748166191.1695862,151680,-125.1473159790039
1748166191.7814608,152320,-124.68302154541016
1748166192.7226224,152832,-124.68302154541016
1748166193.044377,152960,-124.68302154541016
1748166193.3981252,153344,-125.09578704833984
