Wall time,Step,Value
1748176986.5448189,500,-148.15707397460938
1748176986.9067361,1000,-290.2841491699219
1748176987.2261512,1500,-391.9091491699219
1748176987.5073466,2000,-404.5263366699219
1748176987.832993,2500,-405.9325866699219
1748176988.120827,3000,-417.09857177734375
1748176988.3733904,3500,-404.6480712890625
1748176988.628012,4000,-400.6167907714844
1748176989.0654154,4500,-388.68609619140625
1748177001.7749596,5000,-400.9228210449219
1748177002.2698169,5500,-401.1692810058594
1748177002.7775223,6000,-393.8980407714844
1748177003.2830782,6500,-379.1888122558594
1748177003.7899084,7000,-368.1102294921875
1748177004.1905596,7500,-363.71417236328125
1748177004.4658093,8000,-356.26165771484375
1748177004.8300593,8500,-343.9159240722656
1748177005.2518864,9000,-337.4930725097656
1748177005.695376,9500,-329.7389221191406
1748177028.9899178,10000,-329.7389221191406
1748177029.3823543,10500,-326.0986328125
1748177029.6469393,11000,-321.2089538574219
1748177029.9412541,11500,-313.93475341796875
1748177030.7213614,12000,-313.93475341796875
1748177031.24692,12500,-302.8868713378906
1748177031.6025183,13000,-297.099853515625
1748177032.0019903,13500,-292.5411376953125
1748177032.286354,14000,-285.4340515136719
1748177032.5794291,14500,-281.30914306640625
1748177042.372794,15000,-274.3663635253906
1748177042.8891146,15500,-272.71697998046875
1748177043.3417878,16000,-268.26165771484375
1748177043.8457057,16500,-267.39312744140625
1748177044.3837717,17000,-264.0047912597656
1748177044.884738,17500,-256.8011169433594
1748177045.3070858,18000,-256.70611572265625
1748177045.5990996,18500,-255.47705078125
1748177045.8815324,19000,-248.0226287841797
1748177046.1353946,19500,-243.92567443847656
1748177072.4256368,20000,-240.1094512939453
1748177072.9457479,20500,-237.96240234375
1748177073.4594195,21000,-234.98175048828125
1748177073.9563758,21500,-232.63973999023438
1748177074.4076626,22000,-227.2928009033203
1748177075.005499,22500,-223.00848388671875
1748177075.3656878,23000,-214.72703552246094
1748177075.6750631,23500,-204.7315673828125
1748177075.952352,24000,-201.02088928222656
1748177076.242586,24500,-193.89817810058594
1748177102.5249517,25000,-186.3544921875
1748177102.804165,25500,-184.04652404785156
1748177103.089546,26000,-180.26754760742188
1748177103.3734696,26500,-172.84910583496094
1748177103.6508915,27000,-169.14215087890625
1748177103.9988525,27500,-169.14215087890625
1748177104.2924235,28000,-159.53350830078125
1748177104.7819347,28500,-159.53350830078125
1748177105.219817,29000,-154.53135681152344
1748177105.4923763,29500,-146.28201293945312
1748177134.3127856,30000,-140.81141662597656
1748177134.5949044,30500,-134.91578674316406
1748177135.0832684,31000,-130.9036865234375
1748177135.6347148,31500,-128.97378540039062
1748177135.9509003,32000,-127.93202209472656
1748177136.2364056,32500,-125.30848693847656
1748177136.8352835,33000,-123.43679809570312
1748177137.1064856,33500,-123.2244873046875
1748177137.596293,34000,-123.2244873046875
1748177138.11033,34500,-121.81890106201172
1748177163.0759995,35000,-120.36890411376953
1748177163.5081575,35500,-118.7491455078125
1748177163.9691577,36000,-118.65686798095703
1748177164.4465458,36500,-117.21747589111328
1748177164.9787273,37000,-111.85916900634766
1748177165.47439,37500,-110.6075210571289
1748177165.8179727,38000,-105.83610534667969
1748177166.0885458,38500,-108.22528076171875
1748177166.4512634,39000,-105.48236846923828
1748177166.7362845,39500,-106.82958221435547
1748177188.2852464,40000,-108.0609130859375
1748177188.8226168,40500,-107.14550018310547
1748177189.4112835,41000,-104.73341369628906
1748177189.9731789,41500,-100.79653930664062
1748177190.529364,42000,-99.39173889160156
1748177191.1829412,42500,-95.09435272216797
1748177191.7075005,43000,-93.28599548339844
1748177192.326002,43500,-87.8412857055664
1748177192.830915,44000,-87.73950958251953
1748177193.4659867,44500,-87.73950958251953
1748177209.8480713,45000,-83.14704132080078
1748177210.2387552,45500,-78.72647094726562
1748177210.5097368,46000,-75.00358581542969
1748177210.7713947,46500,-73.30059814453125
1748177211.0494652,47000,-71.12718963623047
1748177211.329412,47500,-65.11248016357422
1748177211.746595,48000,-63.78359603881836
1748177212.250782,48500,-61.72883605957031
1748177212.542963,49000,-58.442378997802734
1748177212.7948437,49500,-55.947914123535156
1748177215.7879138,50000,-52.466705322265625
1748177216.0348854,50500,-48.02349853515625
1748177216.28012,51000,-39.86327362060547
1748177216.5250711,51500,-30.308849334716797
1748177216.7700229,52000,-38.88584899902344
1748177217.0160496,52500,-34.94252395629883
1748177217.2590299,53000,-32.4465217590332
1748177217.5059314,53500,-26.061574935913086
1748177217.7510593,54000,-23.083919525146484
1748177217.996466,54500,-22.50990867614746
1748177219.37438,55000,-25.501632690429688
1748177219.6934211,55500,-22.5318660736084
1748177219.9373622,56000,-27.597007751464844
1748177220.1836228,56500,-27.406843185424805
1748177220.4287083,57000,-33.424041748046875
1748177220.6743426,57500,-35.072139739990234
1748177220.919373,58000,-40.7935791015625
1748177221.168449,58500,-40.586849212646484
1748177221.4157045,59000,-41.35817337036133
1748177221.662864,59500,-42.918270111083984
1748177223.4834895,60000,-41.38374328613281
1748177223.884347,60500,-41.594696044921875
1748177224.150858,61000,-41.94407653808594
1748177224.3956614,61500,-37.747764587402344
1748177224.6446276,62000,-35.869728088378906
1748177224.8931062,62500,-38.106689453125
